open_time,open_time UTC+7,open,high,low,close,volume,close_time,close_time UTC+7
1.63401E+12,2021-10-12 11:00:00,56711.36,57680,56558,57342.79,6572.08788,1.63403E+12,2021-10-12 15:00:00
1.63403E+12,2021-10-12 15:00:00,57342.79,57618.99,56680,57240.14,7093.9373,1.63404E+12,2021-10-12 19:00:00
1.63404E+12,2021-10-12 19:00:00,57240.14,57450,56010,56303.2,11228.66882,1.63405E+12,2021-10-12 23:00:00
1.63405E+12,2021-10-12 23:00:00,56300.66,56376.74,55154.72,55329.78,9244.17275,1.63407E+12,2021-10-13 03:00:00
1.63407E+12,2021-10-13 03:00:00,55329.78,56548.99,53879,55996.93,11671.27209,1.63408E+12,2021-10-13 07:00:00
1.63408E+12,2021-10-13 07:00:00,55996.91,56599.99,55825.9,56277.78,5980.76846,1.6341E+12,2021-10-13 11:00:00
1.6341E+12,2021-10-13 11:00:00,56277.79,56365,54562.34,54612.61,10682.25936,1.63411E+12,2021-10-13 15:00:00
1.63411E+12,2021-10-13 15:00:00,54612.6,55295.7,54167.19,55210.79,9667.88324,1.63413E+12,2021-10-13 19:00:00
1.63413E+12,2021-10-13 19:00:00,55210.8,56440.75,54521.74,56168.85,10626.72608,1.63414E+12,2021-10-13 23:00:00
1.63414E+12,2021-10-13 23:00:00,56168.85,57300,56072.75,57259.77,10095.6927,1.63416E+12,2021-10-14 03:00:00
1.63416E+12,2021-10-14 03:00:00,57259.77,57777,56607.27,57367,8755.11508,1.63417E+12,2021-10-14 07:00:00
1.63417E+12,2021-10-14 07:00:00,57370.83,58532.54,57138.72,58065.99,8883.242761,1.63418E+12,2021-10-14 11:00:00
1.63418E+12,2021-10-14 11:00:00,58065.99,58169.99,57333.33,57367.3,6072.24549,1.6342E+12,2021-10-14 15:00:00
1.6342E+12,2021-10-14 15:00:00,57367.3,58150,57189,57622.42,7588.26582,1.63421E+12,2021-10-14 19:00:00
1.63421E+12,2021-10-14 19:00:00,57622.42,57986.2,56947.59,57331.31,8973.34822,1.63423E+12,2021-10-14 23:00:00
1.63423E+12,2021-10-14 23:00:00,57331.3,58086.98,56818.05,57833.12,8438.51013,1.63424E+12,2021-10-15 03:00:00
1.63424E+12,2021-10-15 03:00:00,57833.11,57867.11,57207.89,57347.94,3097.72436,1.63426E+12,2021-10-15 07:00:00
1.63426E+12,2021-10-15 07:00:00,57347.94,59453.75,56850,59431.71,14605.26752,1.63427E+12,2021-10-15 11:00:00
1.63427E+12,2021-10-15 11:00:00,59431.7,59998,59142.86,59231.5,12301.34388,1.63428E+12,2021-10-15 15:00:00
1.63428E+12,2021-10-15 15:00:00,59231.5,59537.61,58739.17,59527.99,10325.42444,1.6343E+12,2021-10-15 19:00:00
1.6343E+12,2021-10-15 19:00:00,59527.99,60361.5,59187.66,60038.36,13521.04031,1.63431E+12,2021-10-15 23:00:00
1.63431E+12,2021-10-15 23:00:00,60038.36,61880,60001.91,61446.32,16551.78547,1.63433E+12,2021-10-16 03:00:00
1.63433E+12,2021-10-16 03:00:00,61446.33,62933,60797.01,61672.42,15208.04641,1.63434E+12,2021-10-16 07:00:00
1.63434E+12,2021-10-16 07:00:00,61672.42,61771.65,61120,61655.99,5588.91891,1.63436E+12,2021-10-16 11:00:00
1.63436E+12,2021-10-16 11:00:00,61655.99,62378.42,61551.31,61733.96,5511.08148,1.63437E+12,2021-10-16 15:00:00
1.63437E+12,2021-10-16 15:00:00,61733.96,62062.55,61324.79,61597.26,7202.4555,1.63439E+12,2021-10-16 19:00:00
1.63439E+12,2021-10-16 19:00:00,61597.26,61605.81,60398.73,60941.04,9088.29165,1.6344E+12,2021-10-16 23:00:00
1.6344E+12,2021-10-16 23:00:00,60941.04,61215.64,60150,60834.34,4907.47821,1.63441E+12,2021-10-17 03:00:00
1.63441E+12,2021-10-17 03:00:00,60834.34,61300,60500,60875.57,3169.65521,1.63443E+12,2021-10-17 07:00:00
1.63443E+12,2021-10-17 07:00:00,60875.57,61405.94,60475.76,61115.85,4503.40157,1.63444E+12,2021-10-17 11:00:00
1.63444E+12,2021-10-17 11:00:00,61115.86,61249.93,60299.33,60329.54,4069.74115,1.63446E+12,2021-10-17 15:00:00
1.63446E+12,2021-10-17 15:00:00,60329.54,61465.9,60322.85,60939.89,5326.37044,1.63447E+12,2021-10-17 19:00:00
1.63447E+12,2021-10-17 19:00:00,60939.9,61326.64,60471.97,60764.12,5810.58981,1.63449E+12,2021-10-17 23:00:00
1.63449E+12,2021-10-17 23:00:00,60764.13,61080,60379.56,60519.48,4656.47754,1.6345E+12,2021-10-18 03:00:00
1.6345E+12,2021-10-18 03:00:00,60519.48,61718.39,58963,61528.33,14732.66073,1.63452E+12,2021-10-18 07:00:00
1.63452E+12,2021-10-18 07:00:00,61528.32,62578.91,61406.27,62123.87,8220.86368,1.63453E+12,2021-10-18 11:00:00
1.63453E+12,2021-10-18 11:00:00,62123.87,62695.78,61775.38,61885.42,6750.25829,1.63454E+12,2021-10-18 15:00:00
1.63454E+12,2021-10-18 15:00:00,61885.43,62464.01,60579.02,60933.04,12454.28811,1.63456E+12,2021-10-18 19:00:00
1.63456E+12,2021-10-18 19:00:00,60933.04,62213.73,59844.45,62003.03,12595.9375,1.63457E+12,2021-10-18 23:00:00
1.63457E+12,2021-10-18 23:00:00,62003.04,62377.73,61034.05,61434.63,7528.58488,1.63459E+12,2021-10-19 03:00:00
1.63459E+12,2021-10-19 03:00:00,61434.64,62104.72,61106.4,62009.84,4248.51598,1.6346E+12,2021-10-19 07:00:00
1.6346E+12,2021-10-19 07:00:00,62005.6,62998,61526.62,62588.86,7508.172578,1.63462E+12,2021-10-19 11:00:00
1.63462E+12,2021-10-19 11:00:00,62588.86,62820.2,61986.85,62297.06,5250.26051,1.63463E+12,2021-10-19 15:00:00
1.63463E+12,2021-10-19 15:00:00,62297.06,62574.42,61743.61,62128.39,4998.06071,1.63464E+12,2021-10-19 19:00:00
1.63464E+12,2021-10-19 19:00:00,62128.39,63278.61,61322.22,62395.99,15480.66462,1.63466E+12,2021-10-19 23:00:00
1.63466E+12,2021-10-19 23:00:00,62395.99,64299,62311.02,64177.15,12224.14855,1.63467E+12,2021-10-20 03:00:00
1.63467E+12,2021-10-20 03:00:00,64170.58,64486,63590,64280.59,8166.800784,1.63469E+12,2021-10-20 07:00:00
1.63469E+12,2021-10-20 07:00:00,64280.59,64375.34,63699.6,63844.67,4421.06348,1.6347E+12,2021-10-20 11:00:00
1.6347E+12,2021-10-20 11:00:00,63844.67,64200.69,63481.4,63999.97,4506.02577,1.63472E+12,2021-10-20 15:00:00
1.63472E+12,2021-10-20 15:00:00,63999.98,64250,63697.69,63791.1,5587.8766,1.63473E+12,2021-10-20 19:00:00
1.63473E+12,2021-10-20 19:00:00,63788,67000,63760,66875.83,21709.68658,1.63475E+12,2021-10-20 23:00:00
1.63475E+12,2021-10-20 23:00:00,66875.84,66940.73,66104.32,66397.59,9104.12272,1.63476E+12,2021-10-21 03:00:00
1.63476E+12,2021-10-21 03:00:00,66397.6,66444.47,65462,66001.41,6100.15971,1.63477E+12,2021-10-21 07:00:00
1.63477E+12,2021-10-21 07:00:00,66001.4,66033.64,64062.82,65069.02,12539.65522,1.63479E+12,2021-10-21 11:00:00
1.63479E+12,2021-10-21 11:00:00,65069.03,65272.86,64142.01,65100.7,7102.10672,1.6348E+12,2021-10-21 15:00:00
1.6348E+12,2021-10-21 15:00:00,65100.7,66639.74,64175,64827.9,14228.5991,1.63482E+12,2021-10-21 19:00:00
1.63482E+12,2021-10-21 19:00:00,64836.51,65599.98,62000,62971.2,17711.78395,1.63483E+12,2021-10-21 23:00:00
1.63483E+12,2021-10-21 23:00:00,62971.2,63645.1,62188,62802.07,9884.06493,1.63485E+12,2021-10-22 03:00:00
1.63485E+12,2021-10-22 03:00:00,62801.57,63186.94,62000,62193.15,7072.43545,1.63486E+12,2021-10-22 07:00:00
1.63486E+12,2021-10-22 07:00:00,62193.15,63351.02,62000,63237.9,8679.71549,1.63488E+12,2021-10-22 11:00:00
1.63488E+12,2021-10-22 11:00:00,63237.9,63408.85,62464.6,63371.33,5983.72378,1.63489E+12,2021-10-22 15:00:00
1.63489E+12,2021-10-22 15:00:00,63371.33,63732.39,62874.71,63376.8,5893.024,1.6349E+12,2021-10-22 19:00:00
1.6349E+12,2021-10-22 19:00:00,63376.81,63709.5,60478.1,60690.94,15905.74758,1.63492E+12,2021-10-22 23:00:00
1.63492E+12,2021-10-22 23:00:00,60690.94,61390.07,60000,61032.7,11382.27047,1.63493E+12,2021-10-23 03:00:00
1.63493E+12,2021-10-23 03:00:00,61032.71,61240,60129.63,60688.22,4274.87754,1.63495E+12,2021-10-23 07:00:00
1.63495E+12,2021-10-23 07:00:00,60688.23,61258.43,60358,61236.52,3404.13572,1.63496E+12,2021-10-23 11:00:00
1.63496E+12,2021-10-23 11:00:00,61236.52,61567.11,60705,60880,3607.88079,1.63498E+12,2021-10-23 15:00:00
1.63498E+12,2021-10-23 15:00:00,60879.99,61688,59562.15,61552.23,8286.33783,1.63499E+12,2021-10-23 19:00:00
1.63499E+12,2021-10-23 19:00:00,61552.24,61747.64,60710.36,61446.87,5316.14998,1.635E+12,2021-10-23 23:00:00
1.635E+12,2021-10-23 23:00:00,61449.99,61632.29,60902,61008.02,4089.6252,1.63502E+12,2021-10-24 03:00:00
1.63502E+12,2021-10-24 03:00:00,61008.02,61455.27,60817.46,61286.75,2922.80726,1.63503E+12,2021-10-24 07:00:00
1.63503E+12,2021-10-24 07:00:00,61286.75,61500,60820,61227.76,2871.84386,1.63505E+12,2021-10-24 11:00:00
1.63505E+12,2021-10-24 11:00:00,61227.77,61250,60572.2,60687.82,2680.90126,1.63506E+12,2021-10-24 15:00:00
1.63506E+12,2021-10-24 15:00:00,60687.82,61273.69,60157.14,60281,5295.28095,1.63508E+12,2021-10-24 19:00:00
1.63508E+12,2021-10-24 19:00:00,60281,60848.18,59632.47,59859.97,9430.60011,1.63509E+12,2021-10-24 23:00:00
1.63509E+12,2021-10-24 23:00:00,59859.98,60745.12,59510.63,60643.09,6662.75312,1.63511E+12,2021-10-25 03:00:00
1.63511E+12,2021-10-25 03:00:00,60643.09,61400,60566.65,60852.22,4285.19746,1.63512E+12,2021-10-25 07:00:00
1.63512E+12,2021-10-25 07:00:00,60852.22,62250,60650,62084.26,6455.18496,1.63513E+12,2021-10-25 11:00:00
